Title,Published_date,Views,Likes,Categories,Comments,Category_id,Source,Title_id
"Maharashtra CM Fadnavis Speaks To Injured DCP, Assures Support After Nagpur Clashes",2024-11-20,306,3,News & Politics,5,25,YoutubeAPI,131
Pro-Khalistan Sticker Row: Himachal CM To Discuss Issue With Bhagwant Mann,2024-11-20,1247,14,News & Politics,24,25,YoutubeAPI,132
Nagpur Violent Clash LIVE Updates: Prohibitory Orders Imposed Amid Ongoing Violence | Aurangzeb Row,2024-11-20,2641,10,News & Politics,0,25,YoutubeAPI,133
Nagpur Violent Clash LIVE Updates: Prohibitory Orders Imposed Amid Ongoing Violence | Aurangzeb Row,2024-11-20,2613,11,News & Politics,0,25,YoutubeAPI,133
"Sunita Williams, Butch Wilmore Returning To Earth | LIVE | Astronauts Depart From Space Station",2024-11-20,13997,84,News & Politics,4,25,YoutubeAPI,134
Nagpur Clash News LIVE: Violent Face-Off Erupts Between Two Groups In Nagpur Over Aurangzeb's Tomb,2024-11-20,2794,8,News & Politics,0,25,YoutubeAPI,135
"LIVE: Sunita Williams, Butch Wilmore Depart Space Station, Begin Homecoming Voyage | Nasa LIVE News",2024-11-20,14377,60,News & Politics,0,25,YoutubeAPI,136
LIVE: US Director Of National Intelligence Tulsi Gabbard Attacks Radical Islamist Terrorism,2024-11-20,2664,22,News & Politics,0,25,YoutubeAPI,137
"Israel Launches Extensive Airstrikes On Gaza, Palestine Claims 330 Killed | Israel Vs Hamas",2024-11-20,24747,85,News & Politics,33,25,YoutubeAPI,138
"Israel Launches Extensive Airstrikes On Gaza, Palestine Claims over 300 Killed | Israel Vs Hamas",2024-11-20,419,15,News & Politics,1,25,YoutubeAPI,139
Eknath Shinde Warns Those Involved In Nagpur Clash | India Today,2024-11-20,449,17,News & Politics,1,25,YoutubeAPI,140
"Raise Minimum Wage Under MGNREGA, Increase Number Of Guaranteed Work Days: Sonia Gandhi In RS",2024-11-20,382,10,News & Politics,0,25,YoutubeAPI,141
Madhya Pradesh: Leader of Opposition Umang Singhar Accuses Min Govind Of Corruption,2024-11-20,211,1,News & Politics,0,25,YoutubeAPI,142
PM Modi Speech LIVE: PM Modi Lok Sabha Speech Live | PM Modi Parliament Speech Live | Lok Sabha Live,2024-11-20,3409,41,News & Politics,2,25,YoutubeAPI,143
Stuck astronauts Undocking LIVE: Sunita Williams & Butch Willmore Finally Returning | NASA Live,2024-11-20,3955,17,News & Politics,0,25,YoutubeAPI,144
"Modi Hails Mahakumbh Success, Opposition Claims Gagging On Stampede Debate | India Today News",2024-11-20,727,13,News & Politics,2,25,YoutubeAPI,145
Govind Singh Rajput Counters Umang Singhar's Allegations With ₹20 Crore Defamation Notice,2024-11-20,219,0,News & Politics,0,25,YoutubeAPI,146
Gujarat CM Plays Cricket Match | #cricket #gujratcm #gujratnews #gujratcricket | India Today,2024-11-20,603,17,News & Politics,0,25,YoutubeAPI,147
Scene Breakdown | Your Friendly Neighborhood Spider-Man with Executive Producer Jeff Trammell,2024-11-20,25336,1599,Entertainment,148,24,YoutubeAPI,148
Deadpool Leads the X-Men? | Marvel Multiverse RPG | Giant-Size Special!,2024-11-20,2,133,Entertainment,15,24,YoutubeAPI,149
Put your seatbelt on.,2024-11-20,36363,4597,Entertainment,103,24,YoutubeAPI,150
How To Draw Spider-Man | Your Friendly Neighborhood Spider-Man | Disney+,2024-11-20,19049,2284,Entertainment,39,24,YoutubeAPI,151
We are Groot 🥲🌿,2024-11-20,41507,5443,Entertainment,116,24,YoutubeAPI,152
"“We’re alone in the world, each of us.”",2024-11-20,18713,2219,Entertainment,18,24,YoutubeAPI,153
The Death of Gwen Stacy | Today in Marvel History,2024-11-20,557923,29809,Entertainment,1469,24,YoutubeAPI,154
Daredevil: Born Again SPOILERS from the Cast and Crew!,2024-11-20,20801,1090,Entertainment,42,24,YoutubeAPI,155
Marvel Television's Daredevil: Born Again | Episode 3 Now Streaming On Disney+,2024-11-20,26437,3122,Entertainment,77,24,YoutubeAPI,156
We need him back.,2024-11-20,29995,4065,Entertainment,64,24,YoutubeAPI,157
Marvel Television's Daredevil: Born Again | Rebirth and Death | Disney+,2024-11-20,104768,5649,Entertainment,447,24,YoutubeAPI,158
Infinity Stones or Paper Weights?,2024-11-20,35467,4035,Entertainment,73,24,YoutubeAPI,159
Yelena and Natasha being an iconic duo 👭🏻,2024-11-20,34142,3471,Entertainment,32,24,YoutubeAPI,160
He's a really good lawyer.,2024-11-20,28744,4278,Entertainment,46,24,YoutubeAPI,161
Marvel Television's Daredevil: Born Again | Save | Disney+,2024-11-20,171090,7378,Entertainment,265,24,YoutubeAPI,162
